LAT,LONG,cant_CP
25.74301917,-100.2815653,1498
25.73171594,-100.2765031,62
25.74001782,-100.2930241,5
25.7271833,-100.2913302,135
25.74010218,-100.2760754,12
25.74262921,-100.2638051,7
25.7476085,-100.2784736,9
25.7248663,-100.2351155,284
25.71580457,-100.2223832,153
25.73440236,-100.2374114,37
25.72389902,-100.2403644,44
25.72407095,-100.216098,609
25.73275872,-100.217518,164
25.73840289,-100.2407076,94
25.72081649,-100.2725701,2233
25.71447276,-100.2928396,209
25.71729979,-100.283119,84
25.71939626,-100.2766165,5
25.71957765,-100.2681938,41
25.72332045,-100.269244,2
25.71942071,-100.2659524,8
25.71509701,-100.261375,499
25.71021583,-100.238873,21
25.71684948,-100.2416998,118
25.71522316,-100.2458481,175
25.72606982,-100.260845,167
25.88834156,-100.3194198,213
25.92391171,-100.3746685,10
25.8565,-100.3889433,1
25.85195008,-100.3646609,4
25.77632194,-100.1865584,2654
25.7507251,-100.1507466,3
25.76822594,-100.1888588,416
25.78654729,-100.2060113,35
25.79036043,-100.1870997,25
25.79654444,-100.1980907,47
25.81385852,-100.215727,13
25.81203135,-100.2313046,1348
25.79605918,-100.2508275,335
25.82799517,-100.2543437,217
25.82387511,-100.2385139,14
25.77877193,-100.1277764,26
25.80547124,-100.1585484,63
25.83684536,-100.1397244,8
25.77984537,-100.1419191,148
25.78994811,-100.2533018,96
25.7648877,-100.1246416,1
25.76495579,-100.2384387,88
25.7575979,-100.230674,175
25.74252492,-100.2046572,624
25.74613821,-100.1959019,281
25.7444567,-100.2649913,272
25.77240445,-100.2513706,220
25.75430164,-100.2005108,28
25.74321113,-100.1710608,177
25.75260421,-100.1403194,38
25.75130608,-100.1569117,58
25.7534387,-100.1774714,87
25.75495517,-100.1589799,149
25.71255338,-100.1520851,147
25.72538534,-100.169442,94
25.72029892,-100.178167,66
25.7694412,-100.0631681,373
25.80026584,-100.0894436,76
25.72762423,-100.0852327,4
25.76464128,-100.1362644,344
25.77453075,-100.0149115,2
25.70693845,-99.7864624,2
25.86511228,-100.0245347,36
25.87536282,-99.87829184,13
25.67671015,-99.61432755,21
25.90680214,-99.40166638,5
26.0611249,-99.196946,1
25.8429449,-99.0097117,1
25.82739847,-99.08453103,84
25.69928475,-99.23292931,74
25.7198563,-99.2596756,2
25.68427333,-100.2216126,385
25.6726755,-100.2676118,1
25.70695866,-100.2221447,2564
25.71184004,-100.2054411,73
25.71567482,-100.1888085,80
25.70514357,-100.1691059,362
25.70707706,-100.1870905,45
25.696183,-100.1916943,29
25.72558596,-100.2006058,97
25.69754264,-100.2101284,48
25.70239931,-100.2240476,64
25.57341781,-100.216785,216
25.70274201,-100.2597605,27
25.69891114,-100.2307949,26
25.69263977,-100.2400035,49
25.69821907,-100.2338186,79
25.70516632,-100.2347488,89
25.69138397,-100.2431072,602
25.6906951,-100.1319953,1
25.6996585,-100.1342486,2
25.69424955,-100.2369046,50
25.69282706,-100.2396918,176
25.692769,-100.2344677,4
25.67253403,-100.2623779,777
25.66697151,-100.2680614,10
25.67845945,-100.2458125,8
25.66216315,-100.2595228,54
25.66734657,-100.2635105,3
25.6661834,-100.2649019,36
25.67187778,-100.2663211,4
25.68244824,-100.240077,285
25.68428375,-100.24782,2
25.67898303,-100.2319031,3
25.67572673,-100.2418072,11
25.68530802,-100.2208263,252
25.6847379,-100.2004065,12
25.6880211,-100.2003487,1
25.68997835,-100.2101882,19
25.68227592,-100.1846197,11
25.67802539,-100.1878436,1890
25.66598541,-100.2321244,339
25.64222492,-100.2671492,225
25.65408835,-100.2640458,184
25.66164474,-100.2505697,70
25.65731657,-100.2322992,12
25.66101048,-100.2383749,11
25.67177183,-100.2312496,3
25.66365705,-100.2140797,487
25.65718432,-100.223582,43
25.65218254,-100.2102727,15
25.67113662,-100.2079329,19
25.65708695,-100.2164778,18
25.64922466,-100.2135058,5
25.6738549,-100.2086328,1
25.67615005,-100.212016,2
25.67604248,-100.2162851,12
25.66265903,-100.178471,761
25.6543497,-100.2065306,1
25.64800512,-100.191823,65
25.65351131,-100.1839528,212
25.64782138,-100.2009191,36
25.65845309,-100.1733475,126
25.67868419,-100.1595163,324
25.65014971,-100.1966862,15
25.66164216,-100.198127,33
25.66547779,-100.1728543,120
25.6694969,-100.1537176,1
25.64698759,-100.1114063,364
25.65490649,-100.1357293,14
25.65578432,-100.0811721,51
25.65587358,-100.1164976,4
25.66306527,-100.1070238,40
25.65334452,-100.138319,165
25.69705652,-100.1181209,5
25.62539929,-100.0649719,19
25.651006,-100.1063247,42
25.63492216,-100.0850594,17
25.64021459,-100.106935,40
25.63246321,-100.1059675,92
25.65082069,-100.1004521,115
25.6634196,-100.1190621,3
25.64494742,-100.1190397,69
25.63335301,-100.1545184,32
25.65166995,-100.1379939,62
25.65557753,-100.1300751,11
25.62858659,-100.1553533,160
25.61520611,-100.1770209,42
25.6283482,-100.1855296,4
25.65384287,-100.1835559,67
